county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Fresno County, California","845,251","374,678","48,707","22,043","113,328","1,665","284,830","163,403"
"Glenn County, California","24,971","15,753",177,"1,092",647,49,"7,253","3,946"
"Humboldt County, California","120,307","98,095","1,879","8,481","3,615",455,"7,782","16,156"
"Imperial County, California","129,907","47,537","4,362","4,266","3,049",165,"70,528","49,795"
"Inyo County, California","16,888","11,752",97,"2,473",282,17,"2,267","2,128"
"Kern County, California","762,465","371,734","50,130","18,163","46,777","1,508","274,153","146,770"
"Kings County, California","128,256","61,226","9,023","3,671","5,923",412,"48,001","24,230"
"Lake County, California","59,222","46,858","1,199","2,356","1,004",106,"7,699","8,941"
"Lassen County, California","30,140","21,066","2,277","1,088",494,285,"4,930","2,590"
"Los Angeles County, California","8,525,941","3,259,427","794,364","163,464","1,499,984","24,522","2,784,180","1,488,068"
"Madera County, California","130,901","65,248","4,596","7,674","3,907",173,"49,303","25,354"
"Marin County, California","232,636","179,377","6,339","3,996","16,431",493,"26,000","29,685"
"Mariposa County, California","15,099","13,385",108,497,298,15,796,"2,032"
"Mendocino County, California","79,534","59,510",642,"4,679","1,788",138,"12,777","12,067"
"Merced County, California","231,847","104,534","9,158","7,518","20,715",807,"89,115","49,355"
"Modoc County, California","7,961","6,772",67,446,61,13,602,739
"Mono County, California","11,611","9,349",74,295,163,31,"1,699","1,584"
"Monterey County, California","360,576","158,879","9,943","12,781","26,680","2,132","150,161","78,459"
"Napa County, California","117,282","76,158","2,443","1,949","10,753",348,"25,631","20,737"
"Nevada County, California","92,144","85,604",460,"1,012","1,427",147,"3,494","10,097"
"Orange County, California","2,739,808","1,383,257","53,842","38,322","706,813","9,035","548,539","447,181"
"Placer County, California","355,864","288,586","6,890","3,547","35,500","1,117","20,224","48,875"
"Plumas County, California","17,960","16,608",103,453,152,44,600,"1,830"
"Riverside County, California","2,012,514","995,627","156,477","43,808","171,243","8,116","637,243","405,671"
"Sacramento County, California","1,373,386","715,722","152,795","18,637","281,733","18,914","185,585","211,669"
"San Benito County, California","52,739","27,230",634,"1,647","2,423",176,"20,629","11,470"
"San Bernardino County, California","1,819,800","782,691","184,558","41,663","182,287","7,461","621,140","361,854"
"San Diego County, California","2,776,942","1,633,129","155,813","40,968","410,752","15,286","520,994","521,692"
"San Francisco County, California","787,732","361,382","46,725","6,475","296,505","3,476","73,169","86,233"
"San Joaquin County, California","666,428","267,339","60,351","12,107","139,323","5,567","181,741","112,805"
"San Luis Obispo County, California","244,366","198,338","4,610","3,159","10,402",413,"27,444","38,058"
"San Mateo County, California","670,175","300,188","15,707","6,812","230,242","9,302","107,924","94,267"
"Santa Barbara County, California","368,509","224,748","7,374","9,633","26,549",703,"99,502","79,720"
"Santa Clara County, California","1,726,791","622,617","44,966","22,142","759,030","6,904","271,132","209,468"
"Santa Cruz County, California","232,153","160,565","3,150","3,607","12,553",384,"51,894","38,708"
"Shasta County, California","162,594","142,899","1,912","4,911","5,978",371,"6,523","19,561"
"Sierra County, California","2,848","2,703",7,24,7,1,106,388
"Siskiyou County, California","39,026","33,597",496,"2,019",888,38,"1,988","5,050"
"Solano County, California","387,034","175,768","62,157","5,388","72,766","4,162","66,793","66,457"
"Sonoma County, California","422,842","306,684","7,615","8,855","22,845","1,840","75,003","66,021"
"Stanislaus County, California","468,234","256,602","15,913","10,543","34,778","4,269","146,129","84,644"
"Sutter County, California","87,143","46,810","1,982","1,902","18,234",319,"17,896","12,490"
"Tehama County, California","57,985","44,926",420,"1,881","1,027",132,"9,599","7,844"
"Trinity County, California","14,756","11,627",71,437,"2,222",32,367,"1,356"
"Tulare County, California","386,715","186,255","6,668","10,645","17,194",723,"165,230","86,402"
"Tuolumne County, California","49,947","44,207","1,009",984,816,123,"2,808","5,673"
