county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Lincoln County, Tennessee","33,230","30,195","2,204",136,178,20,497,"2,089"
"Loudon County, Tennessee","51,548","47,353",584,199,459,11,"2,942","3,338"
"McMinn County, Tennessee","49,983","46,564","1,870",182,430,22,915,"3,293"
"McNairy County, Tennessee","24,854","22,983","1,550",65,79,0,177,"1,012"
"Macon County, Tennessee","23,976","22,795",121,102,45,8,905,"1,240"
"Madison County, Tennessee","94,342","54,249","36,004",300,"1,236",19,"2,534","4,481"
"Marion County, Tennessee","27,439","25,872","1,047",111,157,2,250,"1,398"
"Marshall County, Tennessee","31,984","28,704","2,043",125,142,14,956,"2,334"
"Maury County, Tennessee","94,005","77,837","11,349",417,952,49,"3,401","6,969"
"Meigs County, Tennessee","12,222","11,894",134,58,26,1,109,536
"Monroe County, Tennessee","43,692","41,678",743,197,197,5,872,"2,558"
"Montgomery County, Tennessee","197,590","137,775","44,569","1,154","5,202","1,000","7,890","22,479"
"Moore County, Tennessee","6,212","6,030",103,25,30,1,23,249
"Morgan County, Tennessee","20,376","19,130",971,57,46,8,164,659
"Obion County, Tennessee","29,215","25,009","3,159",67,103,0,877,"1,572"
"Overton County, Tennessee","21,663","21,332",89,66,61,0,115,848
"Perry County, Tennessee","8,074","7,748",199,47,26,1,53,292
"Pickett County, Tennessee","4,902","4,829",8,8,15,1,41,99
"Polk County, Tennessee","16,719","16,430",62,67,33,10,117,825
"Putnam County, Tennessee","75,273","67,940","2,188",707,"1,093",52,"3,293","4,581"
"Rhea County, Tennessee","31,106","28,987",604,183,195,11,"1,126","1,764"
"Roane County, Tennessee","50,735","48,463","1,303",204,342,21,402,"2,669"
"Robertson County, Tennessee","68,115","58,467","5,168",335,460,21,"3,664","4,688"
"Rutherford County, Tennessee","314,490","226,227","53,977","1,739","12,538",254,"19,755","26,996"
"Scott County, Tennessee","21,230","21,051",47,37,51,0,44,620
"Sequatchie County, Tennessee","15,129","14,585",72,89,65,4,314,697
"Sevier County, Tennessee","92,356","85,656",812,454,"1,122",24,"4,288","6,024"
"Shelby County, Tennessee","884,025","326,077","477,321","3,334","28,149",344,"48,800","45,719"
"Smith County, Tennessee","18,928","18,192",364,92,84,0,196,976
"Stewart County, Tennessee","12,914","12,463",172,78,77,2,122,743
"Sullivan County, Tennessee","150,959","144,395","3,254",423,"1,278",39,"1,570","7,204"
"Sumner County, Tennessee","182,922","158,075","15,740",711,"2,956",119,"5,321","13,359"
"Tipton County, Tennessee","57,583","45,400","10,860",223,393,40,667,"3,387"
"Trousdale County, Tennessee","11,067","8,883","1,922",30,27,0,205,548
"Unicoi County, Tennessee","17,015","16,386",44,68,37,0,480,913
"Union County, Tennessee","19,092","18,770",53,33,38,7,191,710
"Van Buren County, Tennessee","5,940","5,890",22,7,10,1,10,228
"Warren County, Tennessee","38,458","34,794","1,097",144,258,10,"2,155","2,495"
"Washington County, Tennessee","124,854","113,998","5,623",431,"2,001",62,"2,739","8,147"
"Wayne County, Tennessee","15,767","14,595",888,23,27,3,231,465
"Weakley County, Tennessee","31,351","28,113","2,609",70,195,3,361,"1,551"
"White County, Tennessee","25,897","25,018",412,83,140,12,232,"1,454"
"Williamson County, Tennessee","232,292","203,600","9,876",574,"12,953",117,"5,172","15,434"
"Wilson County, Tennessee","138,551","120,782","10,191",601,"3,106",44,"3,827","9,186"
"Anderson County, Texas","54,327","34,922","11,577",357,392,13,"7,066","3,595"
"Andrews County, Texas","14,756","10,909",237,220,112,0,"3,278","3,854"
"Angelina County, Texas","78,097","54,887","13,098",563,919,42,"8,588","8,298"
"Aransas County, Texas","20,580","17,996",264,245,501,17,"1,557","3,250"
"Archer County, Texas","8,011","7,551",32,108,19,0,301,549
"Armstrong County, Texas","1,725","1,646",13,17,10,0,39,123
"Atascosa County, Texas","36,893","28,203",425,491,206,18,"7,550","12,088"
"Austin County, Texas","26,193","20,164","2,440",277,201,8,"3,103","3,974"
"Bailey County, Texas","5,553","3,348",65,86,11,0,"2,043","1,351"
"Bandera County, Texas","18,339","17,110",110,157,97,15,850,"2,512"
"Bastrop County, Texas","80,549","55,730","5,759","1,268",765,74,"16,953","16,667"
"Baylor County, Texas","3,227","3,036",57,11,9,0,114,238
"Bee County, Texas","25,339","15,347","2,395",212,221,4,"7,160","5,708"
"Bell County, Texas","317,284","180,426","85,241","3,454","11,466","3,764","32,933","53,363"
"Bexar County, Texas","1,484,783","919,729","161,307","23,193","68,675","3,549","308,330","524,541"
"Blanco County, Texas","10,210","9,255",72,87,44,7,745,"1,164"
"Borden County, Texas",589,576,1,1,0,0,11,42
"Bosque County, Texas","16,312","14,483",279,155,80,3,"1,312","1,923"
"Bowie County, Texas","86,936","57,482","23,251",754,"1,094",84,"4,271","5,957"
"Brazoria County, Texas","316,898","190,232","55,176","2,739","26,592",183,"41,976","55,133"
"Brazos County, Texas","204,686","140,206","24,341","1,618","14,763",233,"23,525","29,163"
"Brewster County, Texas","7,647","6,411",198,140,94,11,793,"1,899"
"Briscoe County, Texas","1,341","1,175",18,7,0,0,141,94
"Brooks County, Texas","3,761","2,914",25,22,29,1,770,"3,315"
"Brown County, Texas","34,122","29,326","1,462",232,274,27,"2,801","3,973"
"Burleson County, Texas","15,573","12,152","1,908",138,71,0,"1,304","2,069"
"Burnet County, Texas","43,572","37,845",643,373,428,15,"4,268","5,558"
"Caldwell County, Texas","36,545","23,633","2,440",499,238,27,"9,708","9,338"
"Calhoun County, Texas","15,452","11,356",426,116,"1,115",4,"2,435","4,654"
"Callahan County, Texas","12,779","12,154",133,80,53,7,352,929
"Cameron County, Texas","250,754","162,707","2,076","2,883","2,806",149,"80,133","170,263"
"Camp County, Texas","11,185","7,448","1,898",63,108,8,"1,660","1,279"
"Carson County, Texas","5,310","5,069",20,54,22,8,137,497
"Cass County, Texas","26,911","21,477","4,541",194,120,10,569,"1,543"
"Castro County, Texas","5,400","3,676",108,58,22,4,"1,532","1,971"
"Chambers County, Texas","41,158","32,614","3,227",337,640,1,"4,339","5,413"
"Cherokee County, Texas","45,529","32,134","6,426",464,263,18,"6,224","4,883"
"Childress County, Texas","6,048","4,427",582,29,51,2,957,616
"Clay County, Texas","9,554","9,178",39,94,50,0,193,664
"Cochran County, Texas","2,114","1,448",71,11,4,0,580,433
"Coke County, Texas","2,939","2,721",7,30,1,6,174,346
"Coleman County, Texas","7,164","6,582",151,65,32,0,334,520
"Collin County, Texas","946,270","578,412","110,284","7,490","189,209",719,"60,156","118,195"
"Collingsworth County, Texas","2,365","1,928",121,37,9,1,269,287
"Colorado County, Texas","18,246","13,169","2,335",100,83,0,"2,559","2,311"
"Comal County, Texas","135,471","118,292","3,880","1,135","1,974",167,"10,023","26,030"
"Comanche County, Texas","11,921","10,295",48,116,38,3,"1,421","1,673"
"Concho County, Texas","2,984","2,518",82,19,23,1,341,319
"Cooke County, Texas","36,936","31,641","1,233",550,314,20,"3,178","4,732"
"Coryell County, Texas","73,013","50,529","12,356",672,"1,910","1,093","6,453","10,080"
"Cottle County, Texas","1,251","1,027",96,5,0,2,121,129
"Crane County, Texas","3,537","2,488",77,36,22,0,914,"1,138"
"Crockett County, Texas","2,392","1,882",18,30,10,1,451,706
"Crosby County, Texas","4,344","3,257",151,42,12,1,881,789
"Culberson County, Texas","1,597","1,014",21,25,28,0,509,591
"Dallam County, Texas","5,423","3,879",76,121,13,3,"1,331","1,692"
"Dallas County, Texas","2,192,419","924,283","574,183","31,453","183,124","1,716","477,660","421,120"
"Dawson County, Texas","10,488","7,609",899,100,56,4,"1,820","1,968"
"Deaf Smith County, Texas","13,993","9,054",174,196,63,3,"4,503","4,590"
"Delta County, Texas","4,865","4,317",312,48,37,5,146,365
"Denton County, Texas","790,322","526,363","97,847","7,472","93,463",754,"64,423","116,100"
"DeWitt County, Texas","17,681","13,313","1,673",114,70,7,"2,504","2,143"
"Dickens County, Texas","1,572","1,363",30,12,2,2,163,198
"Dimmit County, Texas","5,610","3,852",89,54,71,13,"1,531","3,005"
"Donley County, Texas","2,982","2,648",172,31,10,1,120,276
"Duval County, Texas","6,481","4,994",160,52,45,0,"1,230","3,350"
"Eastland County, Texas","16,266","14,677",356,150,104,16,963,"1,459"
"Ector County, Texas","126,571","79,965","8,031","1,657","2,339",356,"34,223","38,600"
"Edwards County, Texas","1,099",961,2,9,11,1,115,323
"Ellis County, Texas","166,796","118,993","24,305","1,688","1,582",218,"20,010","25,659"
"El Paso County, Texas","555,390","313,741","29,054","10,337","12,073","1,885","188,300","310,267"
"Erath County, Texas","38,356","32,674","1,247",416,353,14,"3,652","4,189"
"Falls County, Texas","15,621","9,870","3,792",114,56,8,"1,781","1,347"
"Fannin County, Texas","33,049","28,249","2,217",417,152,25,"1,989","2,613"
"Fayette County, Texas","21,922","18,286","1,462",174,71,6,"1,923","2,513"
"Fisher County, Texas","3,328","2,921",107,30,14,2,254,344
"Floyd County, Texas","3,949","3,101",158,15,12,5,658,"1,453"
"Foard County, Texas","1,030",924,19,0,5,1,81,65
"Fort Bend County, Texas","715,862","282,222","170,978","4,574","182,537",371,"75,180","106,917"
"Franklin County, Texas","9,396","8,138",399,77,68,6,708,963
"Freestone County, Texas","18,238","13,337","2,765",146,73,14,"1,903","1,197"
"Frio County, Texas","14,595","8,518",719,130,199,9,"5,020","3,790"
"Gaines County, Texas","17,834","15,175",282,112,75,10,"2,180","3,764"
"Galveston County, Texas","303,576","214,512","44,229","2,703","12,482",296,"29,354","47,106"
"Garza County, Texas","5,360","4,325",297,32,28,0,678,456
"Gillespie County, Texas","23,364","21,373",110,165,131,1,"1,584","3,361"
"Glasscock County, Texas",966,858,8,7,0,3,90,150
"Goliad County, Texas","5,987","5,127",276,31,28,0,525,"1,025"
"Gonzales County, Texas","16,388","11,341","1,186",156,67,10,"3,628","3,265"
"Gray County, Texas","18,500","14,631",868,205,128,0,"2,668","2,727"
"Grayson County, Texas","121,410","99,852","7,663","2,387","1,990",83,"9,435","14,133"
"Gregg County, Texas","112,514","73,043","25,262",818,"1,639",55,"11,697","11,725"
"Grimes County, Texas","26,090","18,591","3,915",242,104,15,"3,223","3,178"
"Guadalupe County, Texas","139,176","103,127","12,805","1,384","3,281",419,"18,160","33,530"
"Hale County, Texas","26,268","16,925","1,496",304,164,32,"7,347","6,254"
"Hall County, Texas","2,497","1,896",204,14,9,0,374,328
"Hamilton County, Texas","7,600","7,138",32,49,38,2,341,622
"Hansford County, Texas","4,581","3,248",15,33,10,3,"1,272",704
"Hardeman County, Texas","3,246","2,748",143,18,18,6,313,303
"Hardin County, Texas","52,815","48,005","3,072",259,411,35,"1,033","3,416"
"Harris County, Texas","3,930,990","1,720,356","907,063","55,011","349,268","4,141","895,151","800,155"
"Harrison County, Texas","63,843","43,925","13,582",715,491,41,"5,089","4,996"
"Hartley County, Texas","4,840","3,746",197,30,24,5,838,542
"Haskell County, Texas","4,950","4,132",205,44,28,5,536,466
"Hays County, Texas","192,699","147,092","9,881","2,175","5,091",189,"28,271","48,368"
"Hemphill County, Texas","2,916","2,372",5,29,11,0,499,466
"Henderson County, Texas","75,317","64,501","4,790",675,526,31,"4,794","6,833"
"Hidalgo County, Texas","517,653","300,554","4,748","6,155","9,048",175,"196,973","353,128"
"Hill County, Texas","32,158","26,070","2,111",368,189,20,"3,400","3,716"
"Hockley County, Texas","17,903","13,760",645,227,52,4,"3,215","3,634"
"Hood County, Texas","56,051","51,678",523,501,476,53,"2,820","5,547"
"Hopkins County, Texas","33,621","27,514","2,405",321,290,12,"3,079","3,166"
"Houston County, Texas","20,843","13,430","5,195",131,138,10,"1,939","1,223"
"Howard County, Texas","29,990","23,664","1,721",404,407,24,"3,770","4,870"
"Hudspeth County, Texas","2,561","1,874",16,39,10,0,622,641
"Hunt County, Texas","88,424","70,576","8,014","1,263","1,016",157,"7,398","11,532"
"Hutchinson County, Texas","18,298","15,269",469,391,111,2,"2,056","2,319"
"Irion County, Texas","1,350","1,200",7,16,0,1,126,163
"Jack County, Texas","7,869","6,663",311,70,41,5,779,603
"Jackson County, Texas","12,894","9,782","1,011",80,158,5,"1,858","2,094"
"Jasper County, Texas","31,407","24,327","5,594",182,127,19,"1,158","1,573"
"Jeff Davis County, Texas","1,664","1,467",1,26,15,2,153,332
"Jefferson County, Texas","234,053","108,905","84,835","1,787","10,080",112,"28,334","22,473"
"Jim Hogg County, Texas","3,064","2,333",5,31,26,5,664,"1,774"
"Jim Wells County, Texas","27,863","22,187",265,264,158,16,"4,973","11,028"
"Johnson County, Texas","157,718","129,863","6,770","1,719","1,812",949,"16,605","22,209"
"Jones County, Texas","18,141","12,902","2,024",120,114,7,"2,974","1,522"
"Karnes County, Texas","12,091","8,215","1,174",87,151,4,"2,460","2,619"
"Kaufman County, Texas","126,404","87,435","21,948","1,413","2,174",82,"13,352","18,906"
"Kendall County, Texas","38,018","34,449",347,289,379,39,"2,515","6,261"
"Kenedy County, Texas",223,137,1,7,0,1,77,127
"Kent County, Texas",716,676,2,6,1,0,31,37
"Kerr County, Texas","45,281","39,702",789,338,606,50,"3,796","7,317"
"Kimble County, Texas","3,937","3,533",8,30,34,3,329,349
"King County, Texas",253,242,0,0,0,4,7,12
"Kinney County, Texas","2,379","2,012",47,33,10,2,275,750
"Kleberg County, Texas","23,171","17,266","1,129",246,817,1,"3,712","7,869"
"Knox County, Texas","3,048","2,393",165,9,24,3,454,305
"Lamar County, Texas","46,207","36,479","6,446",870,481,32,"1,899","3,881"
"Lamb County, Texas","10,001","7,369",453,81,11,17,"2,070","3,044"
"Lampasas County, Texas","18,992","16,337",741,233,252,86,"1,343","2,635"
"La Salle County, Texas","4,378","3,189",235,17,5,0,932,"2,286"
"Lavaca County, Texas","18,421","15,821","1,247",111,74,5,"1,163","1,916"
"Lee County, Texas","15,247","11,744","1,691",99,61,2,"1,650","2,231"
"Leon County, Texas","14,557","12,391",945,107,111,6,997,"1,162"
"Liberty County, Texas","81,331","55,857","7,171","1,100",499,17,"16,687","10,297"
"Limestone County, Texas","20,425","14,018","3,726",147,162,18,"2,354","1,721"
"Lipscomb County, Texas","2,574","1,969",4,37,2,1,561,485
"Live Oak County, Texas","9,471","8,419",214,65,37,3,733,"1,864"
"Llano County, Texas","19,569","18,388",105,169,133,4,770,"1,674"
"Loving County, Texas",58,56,0,1,0,0,1,6
"Lubbock County, Texas","267,331","191,717","27,279","3,206","9,701",248,"35,180","43,308"
"Lynn County, Texas","4,939","3,724",107,36,10,4,"1,058",657
"McCulloch County, Texas","6,561","5,821",98,38,39,1,564,"1,069"
"McLennan County, Texas","229,896","156,475","37,518","2,511","5,010",189,"28,193","30,683"
"McMullen County, Texas",448,411,3,1,3,5,25,152
"Madison County, Texas","12,513","7,695","2,610",107,106,1,"1,994",942
"Marion County, Texas","9,102","6,968","1,857",86,48,0,143,623
"Martin County, Texas","4,469","3,580",87,69,9,1,723,768
"Mason County, Texas","3,503","3,188",9,14,2,0,290,450
"Matagorda County, Texas","30,626","19,753","3,900",318,720,7,"5,928","5,629"
"Maverick County, Texas","32,898","16,845",181,"1,163",192,18,"14,499","24,989"
"Medina County, Texas","39,999","31,848","1,366",414,261,42,"6,068","10,749"
"Menard County, Texas","1,740","1,511",13,14,5,3,194,222
"Midland County, Texas","137,579","98,404","11,049","1,550","3,983",191,"22,402","32,404"
"Milam County, Texas","22,158","17,261","2,183",147,119,18,"2,430","2,596"
"Mills County, Texas","3,991","3,654",30,15,5,0,287,465
"Mitchell County, Texas","8,121","5,399",961,88,54,1,"1,618",869
"Montague County, Texas","18,141","17,066",81,194,84,4,712,"1,824"
"Montgomery County, Texas","535,925","407,926","35,394","6,049","21,830",732,"63,994","84,518"
"Moore County, Texas","16,973","9,445",695,419,"1,014",4,"5,396","4,385"
"Morris County, Texas","11,112","8,043","2,467",86,47,9,460,861
"Motley County, Texas",986,931,10,2,0,0,43,77
"Nacogdoches County, Texas","58,923","40,228","10,709",414,767,12,"6,793","5,730"
"Navarro County, Texas","45,572","30,019","6,425",473,401,734,"7,520","7,052"
"Newton County, Texas","11,656","9,375","2,086",60,24,0,111,561
"Nolan County, Texas","12,714","10,235",712,108,104,5,"1,550","2,024"
"Nueces County, Texas","261,534","191,405","14,309","2,942","8,135",381,"44,362","91,644"
"Ochiltree County, Texas","8,254","5,618",22,146,32,2,"2,434","1,761"
"Oldham County, Texas","1,598","1,424",35,10,11,0,118,160
"Orange County, Texas","79,407","66,942","8,081",459,"1,113",19,"2,793","5,401"
"Palo Pinto County, Texas","25,842","22,603",582,269,214,13,"2,161","2,567"
"Panola County, Texas","21,057","16,637","3,263",172,105,11,869,"1,434"
"Parker County, Texas","133,872","122,995","1,738","1,229","1,035",116,"6,759","14,350"
"Parmer County, Texas","8,193","5,572",75,171,18,4,"2,353","1,676"
"Pecos County, Texas","11,740","6,921",558,172,148,2,"3,939","3,453"
"Polk County, Texas","46,457","36,343","4,924","1,019",340,2,"3,829","3,666"
"Potter County, Texas","98,979","61,693","12,561","1,397","6,172",41,"17,115","19,546"
"Presidio County, Texas","3,683","2,331",27,48,86,0,"1,191","2,448"
"Rains County, Texas","11,346","10,394",270,112,55,3,512,818
"Randall County, Texas","123,378","105,870","4,992","1,263","2,737",60,"8,456","17,375"
"Reagan County, Texas","2,594","1,736",42,32,20,1,763,791
"Real County, Texas","2,432","2,213",28,20,13,3,155,326
"Red River County, Texas","11,014","8,700","1,762",111,51,4,386,573
"Reeves County, Texas","11,067","8,073",290,101,169,3,"2,431","3,681"
"Refugio County, Texas","5,413","4,172",462,32,32,0,715,"1,328"
"Roberts County, Texas",755,737,2,3,0,0,13,72
"Robertson County, Texas","15,482","10,502","3,176",102,107,21,"1,574","1,275"
"Rockwall County, Texas","94,391","74,913","8,398",899,"3,371",111,"6,699","13,428"
"Runnels County, Texas","8,698","7,480",146,86,24,7,955,"1,202"
"Rusk County, Texas","47,962","33,865","8,326",401,231,24,"5,115","4,252"
"Sabine County, Texas","9,413","8,426",745,51,53,0,138,481
"San Augustine County, Texas","7,526","5,352","1,781",33,42,0,318,392
"San Jacinto County, Texas","24,982","20,276","2,134",219,88,20,"2,245","2,420"
"San Patricio County, Texas","52,670","42,197","1,195",544,886,87,"7,761","16,085"
"San Saba County, Texas","5,195","4,274",121,39,17,2,742,535
"Schleicher County, Texas","2,096","1,368",26,24,10,3,665,355
"Scurry County, Texas","14,567","10,867",637,126,83,8,"2,846","2,365"
"Shackelford County, Texas","2,910","2,731",23,10,18,0,128,195
"Shelby County, Texas","22,008","15,111","3,836",139,370,14,"2,538","2,014"
"Sherman County, Texas","2,188","1,612",12,37,3,0,524,594
"Smith County, Texas","211,043","144,539","38,593","1,656","4,188",106,"21,961","22,436"
"Somervell County, Texas","8,088","7,373",45,78,58,0,534,"1,117"
"Starr County, Texas","34,893","21,839",66,253,111,1,"12,623","31,027"
"Stephens County, Texas","8,280","7,013",246,61,63,1,896,821
"Sterling County, Texas","1,196","1,064",3,6,1,2,120,176
"Stonewall County, Texas","1,133","1,032",20,10,5,0,66,112
"Sutton County, Texas","2,514","1,959",10,16,8,2,519,858
"Swisher County, Texas","5,834","4,182",438,49,12,3,"1,150","1,137"
"Tarrant County, Texas","1,814,445","1,044,549","366,727","18,690","129,437","4,551","250,491","296,195"
"Taylor County, Texas","126,033","99,225","11,771","1,262","2,924",189,"10,662","17,175"
"Terrell County, Texas",646,480,8,0,5,0,153,114
"Terry County, Texas","9,250","6,930",454,76,40,0,"1,750","2,581"
"Throckmorton County, Texas","1,336","1,294",2,5,3,0,32,104
"Titus County, Texas","26,265","16,188","2,992",377,278,9,"6,421","4,982"
"Tom Green County, Texas","98,664","78,548","4,544","1,050","1,801",175,"12,546","21,339"
"Travis County, Texas","1,079,633","709,447","101,267","12,463","101,038","1,019","154,399","210,555"
"Trinity County, Texas","12,576","10,833","1,092",54,34,5,558,"1,026"
"Tyler County, Texas","18,841","15,621","2,059",120,100,3,938,957
"Upshur County, Texas","37,542","32,238","2,958",340,177,13,"1,816","3,350"
"Upton County, Texas","2,321","1,849",74,13,5,0,380,987
"Uvalde County, Texas","17,058","12,584",159,133,162,8,"4,012","7,506"
"Val Verde County, Texas","30,969","21,218",665,337,379,47,"8,323","16,617"
"Van Zandt County, Texas","54,766","49,904","1,542",473,275,30,"2,542","4,775"
"Victoria County, Texas","72,846","53,085","5,729",726,"1,431",43,"11,832","18,473"
"Walker County, Texas","71,212","42,800","16,638",468,"1,148",42,"10,116","5,188"
"Waller County, Texas","49,474","26,479","12,256",634,809,20,"9,276","7,320"
"Ward County, Texas","9,342","6,567",482,122,69,2,"2,100","2,302"
"Washington County, Texas","31,899","23,299","5,626",154,564,18,"2,238","3,906"
"Webb County, Texas","159,681","102,723","1,166","1,651","1,405",53,"52,683","107,433"
"Wharton County, Texas","35,188","22,903","5,676",294,193,1,"6,121","6,382"
"Wheeler County, Texas","4,438","3,748",86,57,27,2,518,552
"Wichita County, Texas","115,415","86,718","13,887","1,443","2,747",181,"10,439","13,935"
"Wilbarger County, Texas","11,537","8,092","1,062",177,571,0,"1,635","1,350"
"Willacy County, Texas","13,966","8,743",497,149,165,2,"4,410","6,198"
"Williamson County, Texas","517,900","373,264","40,732","4,588","54,628",735,"43,953","91,117"
"Wilson County, Texas","40,399","34,471",776,473,254,33,"4,392","9,354"
"Winkler County, Texas","6,231","4,046",163,135,85,1,"1,801","1,560"
"Wise County, Texas","61,062","54,054",720,695,382,13,"5,198","7,570"
"Wood County, Texas","41,316","36,871","1,693",339,230,4,"2,179","3,527"
"Yoakum County, Texas","5,896","3,758",63,62,50,0,"1,963","1,798"
"Young County, Texas","16,366","14,398",183,184,89,0,"1,512","1,501"
"Zapata County, Texas","7,570","5,421",18,67,16,0,"2,048","6,319"
"Zavala County, Texas","6,344","4,598",89,74,19,1,"1,563","3,326"
"Beaver County, Utah","6,683","5,904",23,104,32,22,598,389
"Box Elder County, Utah","54,267","50,784",178,516,455,103,"2,231","3,399"
"Cache County, Utah","125,033","112,842","1,115","1,108","2,353",705,"6,910","8,121"
"Carbon County, Utah","18,760","17,643",61,270,65,29,692,"1,652"
"Daggett County, Utah",894,884,4,0,2,2,2,41
"Davis County, Utah","334,695","302,352","4,376","2,503","7,143","3,345","14,976","27,984"
"Duchesne County, Utah","18,716","17,076",21,940,63,39,577,880
"Emery County, Utah","9,327","9,003",4,63,40,7,210,498
"Garfield County, Utah","4,860","4,541",11,107,37,7,157,223
"Grand County, Utah","8,827","7,817",73,373,80,13,471,842
"Iron County, Utah","53,742","49,237",408,"1,091",641,244,"2,121","3,547"
"Juab County, Utah","11,336","10,972",18,98,34,44,170,450
"Kane County, Utah","7,357","7,084",31,129,61,1,51,310
"Millard County, Utah","12,300","10,855",15,152,142,13,"1,123",675
"Morgan County, Utah","11,855","11,691",12,43,57,3,49,440
"Piute County, Utah","1,318","1,291",0,6,0,0,21,120
"Rich County, Utah","2,414","2,359",11,3,2,4,35,96
"Salt Lake County, Utah","1,068,295","847,970","23,474","13,189","51,030","21,742","110,890","116,943"
"San Juan County, Utah","13,897","6,275",36,"7,278",54,53,201,621
"Sanpete County, Utah","27,042","24,277",224,307,171,247,"1,816","1,395"
"Sevier County, Utah","20,587","19,667",65,340,45,49,421,935
"Summit County, Utah","39,461","35,927",173,133,728,44,"2,456","2,896"
"Tooele County, Utah","66,818","61,011",465,726,526,651,"3,439","5,880"
"Uintah County, Utah","33,405","29,607",98,"2,432",169,97,"1,002","2,215"
"Utah County, Utah","600,075","537,757","4,403","4,602","10,413","6,722","36,178","59,324"
"Wasatch County, Utah","32,212","29,131",157,188,361,41,"2,334","2,576"
"Washington County, Utah","167,499","151,777",988,"2,189","1,866","1,669","9,010","12,780"
"Wayne County, Utah","2,358","2,283",1,19,16,3,36,128
"Weber County, Utah","238,570","205,396","3,613","2,735","3,852","1,031","21,943","23,653"
"Addison County, Vermont","35,321","33,793",368,113,597,11,439,"2,042"
"Bennington County, Vermont","35,417","34,183",430,70,406,5,323,"1,930"
"Caledonia County, Vermont","28,581","27,656",234,100,368,17,206,"1,652"
"Chittenden County, Vermont","158,374","144,237","4,910",384,"7,243",53,"1,547","9,949"
"Essex County, Vermont","5,630","5,566",15,18,16,5,10,290
"Franklin County, Vermont","46,987","45,509",338,501,321,16,302,"2,959"
"Grand Isle County, Vermont","6,894","6,724",51,45,33,0,41,399
"Lamoille County, Vermont","24,446","23,778",225,89,141,2,211,"1,499"
"Orange County, Vermont","27,642","26,978",162,135,166,5,196,"1,635"
"Orleans County, Vermont","26,066","25,464",131,198,123,1,149,"1,327"
"Rutland County, Vermont","56,965","55,453",517,159,460,14,362,"3,607"
"Washington County, Vermont","56,113","54,149",651,153,633,26,501,"3,694"
"Windham County, Vermont","43,081","41,380",536,139,494,9,523,"2,824"
"Windsor County, Vermont","54,534","52,881",466,185,548,17,437,"3,219"
"Accomack County, Virginia","31,655","20,261","8,670",297,255,4,"2,168","1,758"
"Albemarle County, Virginia","104,478","81,866","9,953",286,"8,222",50,"4,101","7,917"
"Alleghany County, Virginia","14,647","13,813",681,27,61,7,58,576
"Amelia County, Virginia","12,633","9,780","2,555",39,65,0,194,632
"Amherst County, Virginia","29,477","23,190","5,400",251,182,27,427,"1,830"
"Appomattox County, Virginia","15,429","12,258","2,894",51,46,7,173,690
"Arlington County, Virginia","212,765","145,293","20,875","1,565","27,443",141,"17,448","25,878"
"Augusta County, Virginia","74,044","69,142","3,116",185,467,31,"1,103","3,443"
"Bath County, Virginia","4,015","3,855",116,6,17,2,19,194
"Bedford County, Virginia","75,671","68,743","4,925",211,970,37,785,"3,791"
"Bland County, Virginia","6,056","5,874",169,0,6,0,7,214
"Botetourt County, Virginia","32,265","30,689",918,70,234,3,351,"1,331"
"Brunswick County, Virginia","15,446","6,553","8,607",23,44,5,214,403
"Buchanan County, Virginia","20,007","19,299",618,15,51,4,20,348
"Buckingham County, Virginia","16,179","10,488","5,435",51,59,7,139,645
"Campbell County, Virginia","52,891","43,320","7,832",192,604,15,928,"2,805"
"Caroline County, Virginia","28,485","19,215","7,721",166,296,15,"1,072","2,402"
"Carroll County, Virginia","28,093","27,255",169,53,80,3,533,"1,062"
"Charles City County, Virginia","6,431","3,028","2,836",448,38,6,75,342
"Charlotte County, Virginia","11,084","7,717","3,140",22,31,6,168,445
"Chesterfield County, Virginia","337,592","216,290","83,107","1,589","13,185",246,"23,175","26,956"
"Clarke County, Virginia","13,776","12,481",578,51,212,15,439,"1,007"
"Craig County, Virginia","4,707","4,653",13,5,11,3,22,185
"Culpeper County, Virginia","47,865","36,092","6,567",365,776,23,"4,042","4,687"
"Cumberland County, Virginia","9,214","6,165","2,831",43,38,8,129,461
"Dickenson County, Virginia","13,834","13,728",49,23,19,2,13,290
"Dinwiddie County, Virginia","26,583","17,516","8,177",125,126,3,636,"1,364"
"Essex County, Virginia","10,051","5,952","3,775",83,62,3,176,548
"Fairfax County, Virginia","1,020,759","569,013","110,889","6,500","235,050",873,"98,434","129,550"
"Fauquier County, Virginia","66,515","56,660","5,091",312,"1,229",51,"3,172","6,457"
"Floyd County, Virginia","14,785","14,219",244,20,51,0,251,691
"Fluvanna County, Virginia","25,497","21,023","3,730",79,222,7,436,"1,752"
"Franklin County, Virginia","52,046","46,702","3,921",147,307,27,942,"2,431"
"Frederick County, Virginia","84,094","73,524","3,718",315,"1,681",41,"4,815","7,325"
"Giles County, Virginia","16,190","15,777",244,34,71,0,64,597
"Gloucester County, Virginia","36,041","32,396","2,753",153,318,25,396,"2,670"
